epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.03383,0.64406,2.02074,0.96337,0.98486,0.99477,0.995,0.88195,0.51077,0.95413,0.81313,0.000472856,0.000472856,0.000472856
2,16.307,0.58848,1.22007,0.93442,0.97939,0.95052,0.995,0.89455,0.48954,0.78574,0.83582,0.000930396,0.000930396,0.000930396
3,22.9913,0.57916,1.05423,0.92749,0.9901,1,0.995,0.90573,0.46549,0.71624,0.82471,0.00136907,0.00136907,0.00136907
4,29.6741,0.56877,0.93827,0.93523,0.9952,1,0.995,0.92623,0.40548,0.55293,0.80604,0.00134412,0.00134412,0.00134412
5,36.2784,0.52293,0.81121,0.91119,0.99355,1,0.995,0.92588,0.36876,0.48421,0.80222,0.00131582,0.00131582,0.00131582
6,42.8275,0.51012,0.75156,0.91344,0.98627,1,0.995,0.92581,0.38701,0.45406,0.80506,0.00128753,0.00128753,0.00128753
7,49.4481,0.51525,0.6979,0.9322,0.99489,1,0.995,0.92946,0.37785,0.39525,0.80708,0.00125923,0.00125923,0.00125923
8,56.1293,0.4928,0.61664,0.90244,0.99506,1,0.995,0.94138,0.36872,0.35594,0.79933,0.00123094,0.00123094,0.00123094
9,62.7287,0.47435,0.57518,0.90638,0.98939,1,0.995,0.92605,0.3654,0.32377,0.80169,0.00120265,0.00120265,0.00120265
10,69.2421,0.46847,0.52563,0.90882,0.99555,1,0.995,0.94507,0.32755,0.29138,0.79753,0.00117435,0.00117435,0.00117435
11,75.8654,0.44688,0.49612,0.89741,0.9958,1,0.995,0.96512,0.30742,0.25728,0.79185,0.00114606,0.00114606,0.00114606
12,82.4694,0.4456,0.47508,0.89752,0.99503,1,0.995,0.95266,0.32936,0.27501,0.79833,0.00111776,0.00111776,0.00111776
13,89.0818,0.4268,0.44531,0.88117,0.99667,1,0.995,0.95586,0.31601,0.29522,0.79051,0.00108947,0.00108947,0.00108947
14,95.6924,0.4189,0.43637,0.88508,0.99316,1,0.995,0.94973,0.30905,0.2889,0.78958,0.00106118,0.00106118,0.00106118
15,102.244,0.40162,0.41486,0.87965,0.99491,1,0.995,0.95644,0.29455,0.25515,0.78926,0.00103288,0.00103288,0.00103288
16,108.908,0.39216,0.38939,0.88464,0.9932,1,0.995,0.96843,0.29077,0.23955,0.78845,0.00100459,0.00100459,0.00100459
17,115.524,0.39434,0.39203,0.87753,0.99624,1,0.995,0.95852,0.28886,0.25786,0.79021,0.000976293,0.000976293,0.000976293
18,122.116,0.39638,0.38611,0.87256,0.99625,1,0.995,0.96691,0.29547,0.22352,0.78797,0.000947999,0.000947999,0.000947999
19,128.687,0.38755,0.3685,0.87544,0.99683,1,0.995,0.95243,0.29631,0.23387,0.78906,0.000919704,0.000919704,0.000919704
20,135.254,0.35775,0.34378,0.86089,0.99662,1,0.995,0.95146,0.29239,0.23734,0.78873,0.00089141,0.00089141,0.00089141
21,141.856,0.38185,0.35682,0.87297,0.99714,1,0.995,0.95492,0.29763,0.24445,0.7885,0.000863116,0.000863116,0.000863116
22,148.379,0.36995,0.3435,0.87272,0.99664,1,0.995,0.97569,0.25504,0.22045,0.78149,0.000834822,0.000834822,0.000834822
23,154.968,0.35666,0.32751,0.85963,0.99534,1,0.995,0.96035,0.29919,0.25725,0.79104,0.000806528,0.000806528,0.000806528
24,161.623,0.35941,0.32426,0.86225,0.99615,1,0.995,0.96952,0.25138,0.2011,0.78228,0.000778233,0.000778233,0.000778233
25,168.254,0.35588,0.31813,0.8697,0.99665,1,0.995,0.97062,0.26371,0.20785,0.78404,0.000749939,0.000749939,0.000749939
26,174.807,0.34302,0.30511,0.86411,0.9963,1,0.995,0.9667,0.25983,0.18718,0.78365,0.000721645,0.000721645,0.000721645
27,181.577,0.34095,0.31032,0.86271,0.9961,1,0.995,0.96909,0.26776,0.21016,0.78265,0.000693351,0.000693351,0.000693351
